dataset_id,name,domain,source_url,license,snapshot,unit_count,role,decision,access_caveat
nfi_crystal_clear,NFI Crystal Clear chat-report benchmark,digital forensics,https://github.com/NetherlandsForensicInstitute/local-llm-chat-report-benchmark,Apache-2.0,5554ef79a0bce3342fb827da2511366ea71b7390,"1 fictitious chat case; 10 approximately-29k-token parts; one 29,864-token boundary-preserved part",exact B0-reproduction fidelity stratum,core,"Generated Gemini reference; preserve upstream schema and exact Trace IDs; no added ATT&CK output"
cam_lds_v2,CAM-LDS v2,cyber incident telemetry,https://zenodo.org/records/18861762,CC-BY-4.0,"Zenodo 18861762; DOI 10.5281/zenodo.18861762","7 scenario families; 34 simulation runs; 13 tactics; 81 techniques",primary B0-external-adapted versus B1 evidence and timeline evaluation,core,"7.4 GB full; 213.8 MB filtered; 535.9 MB raw manifestations; synthetic Linux; no benign activity; scenario family is inference and split group"
ctid_attack_flow,CTID Attack Flow,incident sequence representation,https://github.com/center-for-threat-informed-defense/attack-flow,Apache-2.0,1f0082445e71c712771d21f893d2dfe6fd8524a8,"41 corpus/*.afb files at pinned commit",incident sequence and narrative supplement,core,"Count is scoped to corpus/*.afb not repository-wide; curated flows are not raw evidence"
ctid_tram,CTID TRAM,CTI to ATT&CK mapping,https://github.com/center-for-threat-informed-defense/tram,Apache-2.0,f29793d8d665f7f552898696e00065ef24a29a20,"multi_label 19178 rows; 4070 positive; 151 documents; 50 labels; single_label 5089 rows",mapping and abstention supplement,optional,"Snippet rows are not independent complete incidents"
mitre_attack_stix,MITRE ATT&CK STIX,versioned ontology,https://github.com/mitre-attack/attack-stix-data,ATT&CK Terms of Use,a6c366439edee3a87b79cf90dc0b93f5d7975956,ontology objects only,freeze ATT&CK IDs names tactics and relationships,core,"Ontology only; never count objects as test cases"
followupbench_fb_synth,FollowupBench FB-Synth,medical follow-up questions,https://huggingface.co/datasets/PortalPal-AI/Followup-Q,CC-BY-NC-4.0,"Resolve and hash dataset revision at acquisition","250 samples; 2336 expert questions",atomicity and answerability transfer diagnostic,optional,"Medical transfer-only; non-commercial; FB-Real private; public artifact and license independently verified"
splunk_attack_data,Splunk Attack Data,atomic-technique telemetry,https://github.com/splunk/attack_data,Apache-2.0,"Resolve commit at acquisition",">9 GB full LFS payload",selective telemetry holdout,optional,"Use selective LFS pulls; mostly atomic-technique captures"
splunk_botsv3,Splunk BOTSv3,full-incident telemetry,https://github.com/splunk/botsv3,CC0-1.0,"Resolve commit and file checksum at acquisition","320.1 MB pre-indexed Splunk",phase-two full incident telemetry,optional,"Requires legacy Splunk environment and new human gold annotations"
ait_ads,AIT Alert Data Set,noisy IDS alerts,https://zenodo.org/records/8263181,CC-BY-4.0,"Zenodo 8263181 version 1","8 scenarios; 2655821 alerts",noisy-alert ask-vs-abstain supplement,optional,"Synthetic alerts; requires reconstruction and new gold"
otrf_security_datasets,OTRF Security-Datasets,security telemetry collection,https://github.com/OTRF/Security-Datasets,unresolved,none,not admitted,none,excluded,"Exclude until repository license inconsistency is resolved"
