benchmark_id,condition,question,b0_direct_answer,b0_correctness_0_2,b0_grounding_0_2,b0_uncertainty_0_2,a1_predicted_attributes_json,a1_attribute_first_answer,a1_correctness_0_2,a1_grounding_0_2,a1_uncertainty_0_2,a2_oracle_attributes_json,a2_oracle_answer,a2_correctness_0_2,a2_grounding_0_2,a2_uncertainty_0_2,evaluator_notes
case_01_c0_original,ORIGINAL,Did successful data exfiltration occur?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_01_c1_removed,REMOVED,Did successful data exfiltration occur?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""INSUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""data transfer volume or evidence confirming successful payload transmission""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_01_c2_contradiction,CONTRADICTION,Did successful data exfiltration occur?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_01_c3_distractor,DISTRACTOR,Did successful data exfiltration occur?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S3"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_01_c4_reorder,REORDER,Did successful data exfiltration occur?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_02_c0_original,ORIGINAL,Was successful data exfiltration established?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""CONFLICTING"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""resolution of conflicting SIEM 850 MB egress log vs Firewall TCP RST 0-byte record""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_02_c1_removed,REMOVED,Was successful data exfiltration established?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_02_c2_contradiction,CONTRADICTION,Was successful data exfiltration established?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_02_c3_distractor,DISTRACTOR,Was successful data exfiltration established?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""CONFLICTING"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S3"", ""S4""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""resolution of conflicting SIEM and firewall telemetry""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_03_c0_original,ORIGINAL,Can the executable on WS-04 be established as the same artifact found on Server-02?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""CORRELATION"", ""relevant_evidence_ids"": [""S1"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
